City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,san matias,-16.3667,-58.4,87.24,55,100,4.72,BO,1714254197
158,pedrera,37.2012,-4.9035,49.48,86,3,7.56,ES,1714254197
159,i-n-salah,27.1935,2.4607,83.26,7,80,9.69,DZ,1714254197
160,new norfolk,-42.7826,147.0587,46.71,89,46,2.1,AU,1714254198
161,dunedin,-45.8742,170.5036,51.8,99,2,2.82,NZ,1714253902
162,vila velha,-20.3297,-40.2925,76.95,84,0,4.61,BR,1714254199
163,yarmouth,41.7057,-70.2286,56.64,41,0,21.85,US,1714254200
164,jijiga,9.35,42.8,66.65,78,100,3.56,ET,1714254200
165,sulak,43.2734,47.5146,57.13,75,6,22.84,RU,1714254200
166,tartagal,-22.5164,-63.8013,69.13,97,100,3.78,AR,1714254201
167,afaahiti,-17.75,-149.2833,85.87,83,58,20.92,PF,1714253914
168,kalmunai,7.4167,81.8167,82.04,84,98,3.91,LK,1714254202
169,nizhneangarsk,55.7833,109.55,30.0,87,100,5.99,RU,1714254202
170,westerland,54.9079,8.3033,50.02,93,20,8.05,DE,1714254202
171,isafjordur,66.0755,-23.124,34.99,83,80,4.61,IS,1714254203
172,khanjarah,40.5999,33.6153,59.72,73,100,5.68,TR,1714254203
173,malayer,34.2969,48.8235,53.92,48,0,5.7,IR,1714254204
174,talagutong,6.2644,125.6678,80.62,86,100,5.61,PH,1714254204
175,hanceville,34.0607,-86.7675,81.46,65,100,10.85,US,1714254205
176,ola,59.5833,151.2833,32.14,98,100,5.97,RU,1714254205
177,mil'kovo,55.6078,37.7956,49.98,82,42,5.66,RU,1714254206
178,alatyr',54.8421,46.5813,58.5,85,31,4.68,RU,1714254206
179,atafu village,-8.5421,-172.5159,85.95,74,75,15.68,TK,1714253907
180,sault ste. marie,46.5168,-84.3333,72.16,90,100,9.22,CA,1714253655
181,raja,8.4596,25.678,80.83,63,97,6.78,SS,1714254208
182,taoudenni,22.6783,-3.9836,84.67,32,86,21.63,ML,1714254209
183,anadyr,64.75,177.4833,25.3,93,100,13.42,RU,1714253920
184,mitu,1.1983,-70.1733,79.74,91,100,0.49,CO,1714254210
185,nar'yan-mar,67.6713,53.087,26.11,95,100,14.0,RU,1714254210
186,charters towers,-20.1,146.2667,69.31,78,14,16.02,AU,1714254211
187,zapata,26.9073,-99.2714,98.71,36,40,10.36,US,1714254211
188,kudahuvadhoo,2.6708,72.8944,85.19,75,100,11.92,MV,1714253935
189,wailua homesteads,22.0669,-159.378,77.79,81,75,10.36,US,1714254212
190,fisterra,42.9049,-9.2629,49.75,71,25,14.38,ES,1714254212
191,solnechnyy,50.7214,136.6319,40.03,40,16,12.33,RU,1714254213
192,amboasary,-25.0333,46.3833,68.77,89,3,2.37,MG,1714254213
193,cova figueira,14.8905,-24.2934,64.85,80,58,12.06,CV,1714254213
194,kingscliff,-28.2667,153.5667,68.77,88,75,5.75,AU,1714254214
195,barbastro,42.0356,0.1269,52.34,74,98,0.92,ES,1714254214
196,quelimane,-17.8786,36.8883,73.35,88,75,5.23,MZ,1714254215
197,santiago del estero,-27.7951,-64.2615,69.71,68,99,8.05,AR,1714254215
198,shibirghan,36.6676,65.7529,63.34,52,100,14.29,AF,1714254216
199,panaba,21.2833,-88.2667,94.82,28,88,15.61,MX,1714254216
200,thinadhoo,0.5333,72.9333,85.03,77,100,13.18,MV,1714253931
201,bodo,67.28,14.405,41.95,69,0,9.22,NO,1714254034
202,mount isa,-20.7333,139.5,62.37,48,0,5.75,AU,1714254217
203,iskateley,67.6803,53.1512,26.02,95,100,14.0,RU,1714254218
204,gorontalo,0.5412,123.0595,75.74,97,96,2.37,ID,1714254218
205,klaksvik,62.2266,-6.589,43.72,82,26,25.77,FO,1714254218
206,saint-pierre,-21.3393,55.4781,78.48,78,0,5.75,RE,1714254219
207,saltillo,25.4167,-101.0,87.3,13,0,5.01,MX,1714253986
208,piti village,13.4626,144.6933,83.3,83,75,9.22,GU,1714254220
209,port saint john's,-31.6229,29.5448,63.43,82,32,8.61,ZA,1714254011
210,ancud,-41.8697,-73.8203,50.86,84,100,17.38,CL,1714254221
211,nova sintra,14.8667,-24.7167,73.96,82,60,22.03,CV,1714254221
212,horta,38.5333,-28.6333,59.02,74,34,8.01,PT,1714254021
213,krasnyy yar,46.5331,48.3456,58.93,35,12,12.44,RU,1714254222
214,irymple,-34.25,142.1667,54.28,51,35,5.28,AU,1714254222
215,klyuchi,52.2667,79.1667,45.16,43,1,2.01,RU,1714254004
216,san antonio de pale,-1.4014,5.6325,83.53,84,43,8.1,GQ,1714254223
217,namibe,-15.1961,12.1522,76.64,74,4,4.25,AO,1714254224
218,sisimiut,66.9395,-53.6735,31.53,90,90,2.91,GL,1714254224
219,nawabshah,26.2483,68.4096,83.89,32,66,6.15,PK,1714254225
220,northam,51.0333,-4.2167,47.61,84,95,13.2,GB,1714254225
